ID,File_Name,Crop_Index,R_mean,G_mean,B_mean
M_104_1,M_104_1.mp4_sec_0015.jpg,5,207.9993,164.9993,174.9993
M_104_1,M_104_1.mp4_sec_0015.jpg,6,207.0946,164.0946,174.0946
M_104_1,M_104_1.mp4_sec_0015.jpg,7,207.969,164.969,174.969
M_104_1,M_104_1.mp4_sec_0015.jpg,8,208.1811,165.1811,175.1811
M_104_1,M_104_1.mp4_sec_0015.jpg,9,208.9837,165.9837,175.9837
M_104_1,M_104_1.mp4_sec_0015.jpg,10,208.4878,165.7406,175.7391
M_104_1,M_104_1.mp4_sec_0016.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0016.jpg,2,208.2106,165.2106,175.2106
M_104_1,M_104_1.mp4_sec_0016.jpg,3,207.867,164.867,174.867
M_104_1,M_104_1.mp4_sec_0016.jpg,4,207.9431,165.1146,174.7081
M_104_1,M_104_1.mp4_sec_0016.jpg,5,209.2498,166.5595,176.5595
M_104_1,M_104_1.mp4_sec_0016.jpg,6,207.949,164.949,174.949
M_104_1,M_104_1.mp4_sec_0016.jpg,7,211.0887,169.068,178.799
M_104_1,M_104_1.mp4_sec_0016.jpg,8,207.9143,164.9143,174.9143
M_104_1,M_104_1.mp4_sec_0016.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0016.jpg,10,208.0133,165.0133,175.0133
M_104_1,M_104_1.mp4_sec_0017.jpg,1,208.2483,165.1774,175.3991
M_104_1,M_104_1.mp4_sec_0017.jpg,2,207.595,164.595,174.595
M_104_1,M_104_1.mp4_sec_0017.jpg,3,208.3008,165.3666,175.374
M_104_1,M_104_1.mp4_sec_0017.jpg,4,208.1367,165.1367,175.1367
M_104_1,M_104_1.mp4_sec_0017.jpg,5,207.1951,164.1951,174.1951
M_104_1,M_104_1.mp4_sec_0017.jpg,6,208.9749,165.9749,175.9749
M_104_1,M_104_1.mp4_sec_0017.jpg,7,208.9993,165.9993,175.9993
M_104_1,M_104_1.mp4_sec_0017.jpg,8,207.7361,164.7361,174.7361
M_104_1,M_104_1.mp4_sec_0017.jpg,9,208.7458,165.7458,175.7458
M_104_1,M_104_1.mp4_sec_0017.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0018.jpg,1,208.6578,165.6578,175.6578
M_104_1,M_104_1.mp4_sec_0018.jpg,2,208.6844,165.7849,175.782
M_104_1,M_104_1.mp4_sec_0018.jpg,3,209.0,166.0,176.0
M_104_1,M_104_1.mp4_sec_0018.jpg,4,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0018.jpg,5,208.1596,165.1419,175.1478
M_104_1,M_104_1.mp4_sec_0018.jpg,6,211.2676,171.0296,180.0384
M_104_1,M_104_1.mp4_sec_0018.jpg,7,207.8884,164.8884,174.8884
M_104_1,M_104_1.mp4_sec_0018.jpg,8,208.4937,165.4937,175.4937
